Indicator,Disaggregation combinations using this value
#10-1-a,1
#10-1-b,1
#10-1-c,1
#10-2,1
#10-5,1
#12-1-b,1
#12-5,1
#13-1-c,1
#13-1-d,1
#15-4,1
#15-5,1
#17-1-b,1
#3-10,1
#3-11,1
#3-4,1
#3-5,1
#3-6,1
#3-7,1
#3-8,1
#3-9,1
#4-3,1
#4-6,1
#4-7,1
#4-8,1
#5-1-a,1
#5-1-b,1
#7-1-a,1
#7-1-b,1
#7-1-c,1
#7-2-c,1
#8-2-a,1
#8-2-b,1
#8-2-c,1
#8-2-d,1
#8-3-a,1
#8-3-b,1
#8-3-c,1
