Indicator
#1-1
#10-1-1
#10-1-2
#10-1-3
#10-2-1
#10-5-1
#12-1-2
#12-5-1
#13-1-3
#13-1-4
#15-4-1
#15-5-1
#17-1-2
#3-10-1
#3-11-1
#3-4-1
#3-5-1
#3-6-1
#3-7-1
#3-8-1
#3-9-1
#4-3-1
#4-6-1
#4-7-1
#4-8-1
#5-1-1
#5-1-2
#5-6-1
#7-1-1
#7-1-2
#7-1-3
#7-2-3
#8-2-1
#8-2-2
#8-2-3
#8-2-4
#8-3-1
#8-3-2
#8-3-3
