Year,Group,Value
2006,,8.5
2007,,8.5
2008,,8.5
2009,,8.5
2010,,14.3
2011,,14.3
2012,,14.3
2013,,14.3
2014,,14.3
2015,,10.9
2016,,10.9
2017,,9.1
2018,,9.1
2019,,9.1
2020,,13.8
2021,,12.1
2022,,12.1
